Id,AreaName,PlaceName,Lon,Lat,Start,End,LocType,StartType,EndType
02140630,Italy,Venice,12.33092,45.4389,1481,1519,accurate,accurate,accurate
02140630,Italy,Venice,12.33092,45.4389,1519,1547,accurate,accurate,accurate
02140630,France,Paris,2.3488,48.85341,1801,2021,accurate,accurate,accurate
02141192,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
02141192,Italy,NoInfo,12.83333,42.83333,1481,1500,approx,accurate,approx
02141192,Italy,Italy,12.83333,42.83333,1550,1650,accurate,approx,approx
02141192,United States,Boston,-71.05977,42.35843,1939,1939,accurate,accurate,accurate
02141192,United States,Cambridge,-71.10561,42.3751,1939,1943,accurate,accurate,accurate
02141192,United States,Cambridge,-71.10561,42.3751,1943,1943,accurate,accurate,accurate
02141192,United States,Boston,-71.05977,42.35843,1943,2021,accurate,accurate,accurate
02140648,Italy,Florence,11.24626,43.77925,1481,1481,accurate,accurate,accurate
