Id,lat1,lat2,lon1,lon2,time1,time2,stay,area1,area2,place1,place2
02141192,42.83333,42.35843,12.83333,-71.05977,1650,1939,289,Italy,United States,Italy,Boston
02141192,42.35843,42.3751,-71.05977,-71.10561,1939,1939,0,United States,United States,Boston,Cambridge
02141192,42.3751,42.3751,-71.10561,-71.10561,1943,1943,0,United States,United States,Cambridge,Cambridge
02141192,42.3751,42.35843,-71.10561,-71.05977,1943,1943,0,United States,United States,Cambridge,Boston
02140648,43.77925,43.77925,11.24626,11.24626,1481,1481,0,Italy,Italy,Florence,Florence
02140648,43.77925,43.77925,11.24626,11.24626,1501,1500,-1,Italy,NoInfo,Florence,NoInfo
02140648,43.77925,41.89193,11.24626,12.51133,1700,1717,17,NoInfo,Italy,NoInfo,Rome
02140648,41.89193,48.85341,12.51133,2.3488,1799,1717,-82,Italy,France,Rome,Paris
02141739,43.77925,43.29695,11.24626,5.38107,1481,1766,285,Italy,France,Florence,Marseille
02141739,43.29695,48.85341,5.38107,2.3488,1778,1781,3,France,France,Marseille,Paris
02141717,43.77925,48.20849,11.24626,16.37208,1481,1776,295,Italy,Austria,Florence,Vienna
02141004,43.77925,47.24878,11.24626,6.01815,1481,1753,272,Italy,France,Florence,Besançon
02141004,47.24878,47.24878,6.01815,6.01815,1826,1826,0,France,France,Besançon,Besançon
02144949,43.77925,42.83333,11.24626,12.83333,1481,1550,69,Italy,Italy,Florence,NoInfo
