group,variable,value
17.0,2140943,0
17.0,2140961,0
17.0,2140985,0
17.0,2140988,0
17.0,2140991,0
17.0,2140994,0
17.0,2141004,0
17.0,2141016,1
17.0,2141017,1
17.0,2141029,1
17.0,2141034,0
17.0,2141035,2
17.0,2141037,0
17.0,2141048,0
17.0,2141082,0
17.0,2141086,1
17.0,2141097,1
17.0,2141098,0
17.0,2141099,0
17.0,2141102,0
17.0,2141108,1
17.0,2141109,0
17.0,2141110,0
17.0,2141115,0
17.0,2141122,1
17.0,2141143,0
17.0,2141147,1
17.0,2141148,0
17.0,2141160,0
17.0,2141168,0
17.0,2141180,0
17.0,2141186,0
17.0,2141191,0
17.0,2141192,1
17.0,2141203,0
17.0,2141204,0
17.0,2141227,0
17.0,2141240,0
17.0,2141250,0
17.0,2141251,0
17.0,2141263,1
17.0,2141267,0
17.0,2141268,0
17.0,2141270,0
17.0,2141271,0
17.0,2141280,0
17.0,2141338,0
17.0,2141340,0
17.0,2141350,0
17.0,2141376,0
17.0,2141400,0
17.0,2141406,1
17.0,2141427,1
17.0,2141428,0
17.0,2141433,0
17.0,2141434,2
17.0,2141439,0
17.0,2141440,0
17.0,2141444,0
17.0,2141456,0
17.0,2141466,0
17.0,2141489,0
17.0,2141490,0
17.0,2141491,1
17.0,2141492,0
17.0,2141529,0
17.0,2141530,0
17.0,2141553,0
17.0,2141554,0
17.0,2141555,0
17.0,2141556,0
17.0,2141557,0
17.0,2141558,0
17.0,2141568,0
17.0,2141588,1
17.0,2141596,1
17.0,2141598,0
17.0,2141599,0
17.0,2141600,0
17.0,2141601,0
17.0,2141603,0
17.0,2141605,0
17.0,2141614,0
17.0,2141620,0
17.0,2141622,0
17.0,2141625,0
17.0,2141627,1
17.0,2141629,0
17.0,2141630,0
17.0,2141643,0
17.0,2141717,0
17.0,2141737,0
17.0,2141738,0
17.0,2141739,0
17.0,2141741,0
17.0,2142772,0
17.0,2142777,1
17.0,2142781,0
17.0,2142782,0
17.0,2144949,1
17.0,2144952,0
17.0,2145052,0
17.5,201623,0
17.5,559810,1
17.5,2001008,0
